term ,mnemonic,name
FALL2021,ds_tech_bootcamp,Pete Alonzi
FALL2021,stat6021,Jeffrey Woo
FALL2021,ds5100,Judy Fox
FALL2021,cs5012,Jeremy Bolton
FALL2021,ds6030,Bill Basener
FALL2021,ds_biz_analytics,Marc Ruggiano
FALL2021,ds5110,Adam Tashman
FALL2021,ds5001,Sree Mallikarjun
FALL2021,ds6001,Eric Tassone
FALL2021,ds6011,Jeremy Bolton
FALL2021,ds6011,Peter Gedeck
FALL2021,ds6011,Eric Tassone
FALL2021,ds6011,"Abbas Kazemipour,"
FALL2021,ds6011, Cait Dreisbach
FALL2021,ds6011, Lei Xie
FALL2021,ds6040,Bill Basener
FALL2021,ds6002,Renee Cummings
FALL2021,ds6050,Stephen Baek
FALL2021,ds6013,Raf Alvarado 
FALL2021,ds6013,Teague Henry
SUMMER2021,ds_tech_bootcamp,Pete Alonzi
SUMMER2021,stat6021,Jeffrey Woo
SUMMER2021,ds5100,Nada Basit
SUMMER2021,cs5012,Jeremy Bolton
SUMMER2021,ds6030,Peter Gedeck
SUMMER2021,ds5110,Adam Tashman
SUMMER2021,ds5001,Sree Mallikarjun
SUMMER2021,ds6001,Raf Alvarado
SUMMER2021,ds6011,Raf Alvarado 
SUMMER2021,ds6040,Teague Henry
SUMMER2021,ds6002,Renee Cummings
SUMMER2021,ds6050,Rich Nguyen
SUMMER2021,ds6013,Jon Kropko
SUMMER2021,ds6012,Renee Cummings
SUMMER2021,ds6003,Jason Williamson
SPRING2021,ds_tech_bootcamp,Pete Alonzi
SPRING2021,stat6021,Jeffrey Woo
SPRING2021,ds5100,Judy Fox
SPRING2021,cs5012,Panagiotis Apostolellis
SPRING2021,ds6030,Mike Porter
SPRING2021,ds5110,Adam Tashman
SPRING2021,ds5001,Sree Mallikarjun
SPRING2021,ds6001,Jon Kropko
SPRING2021,ds6011,Jon Kropko
SPRING2021,ds6040,Bill Basener
SPRING2021,ds6002,Luis Felipe Rosado Murillo
SPRING2021,ds6050,Rich Nguyen
SPRING2021,ds6013,Raf Alvarado
SPRING2021,ds6003,Jason Williamson
SPRING2021,ds6012,Luis Felipe Rosado Murillo
SPRING2021,sarc5400,Eric Field
SUMMER2021,ds6011,Teague Henry
